"year","emissions","municipality","surface","compactness","demand","gas_consume","electricity_consume","diesel_consume","eco_consume","co2","energy"
"2006","39.1","Roda de Ter","125","0.93","100.66","149.89","4.01","0","186.21","E","E"
"2006","73.25","Moià","51.4","0.78","263.12","212.78","5.26","0","348.09","F","G"
"2006","39.1","Roda de Ter","125","0.93","100.66","149.89","4.01","0","186.21","E","E"
"2008","69.75","GELIDA","118","1.22","141.79","0","210.74","0","411.78","F","G"
"1976","100.85","SANT ESTEVE SESROVIRES","43.5","0.72","311.41","395.64","3.47","0","477.59","G","G"
"1999","52.07","Lliça d'Amunt","110","0.93","186.81","199.5","5.44","0","248.03","E","E"
"1999","108.06","ABRERA","131.41","0.89","241.69","22.45","3.75","325.27","417.55","G","G"
"2009","40.05","Sant Esteve Sesrovires","118.8","1.12","125.87","154.7","0","0","190.39","E","E"
"1991","87.74","Sitges","240","0.85","269.52","269.69","59.74","0","437.67","G","G"
"2002","69.22","Òdena","126.85","0.76","156","14.1","0.72","210.38","266.22","F","E"
"1900","55.66","PREMIÀ DE DALT","332.89","1.41","174.05","216.14","3.59","0","264.23","E","E"
"1970","38.82","Sant Vicenç dels Horts","120","1.75","124.91","146.04","6.08","0","185.67","E","E"
"1958","76.45","Sant Boi de Llobregat","142.06","1.45","172.12","38.49","3.11","211.34","301.04","G","F"
"1977","96.18","Terrasa","79","0.93","242.73","0","0","305.66","366.98","F","F"
"1958","47.23","Terrasa","145.2","2.25","164.01","31.5","0","0","223.57","E","E"
"2002","38.25","Sant Cugat del Vallés","156.3","1.62","120.37","146.94","3.68","0","182.05","E","E"
"1979","72.85","Terrasa","101.74","1.03","225.08","287.79","0.99","0","344.4","E","E"
"1965","69.11","Manlleu","56","0.9","220.67","108.04","99.41","0","365.28","E","F"
"1970","30.84","Igualada","57.48","4.39","112.63","0","19.32","0","155.2","D","D"
"1898","73.48","Viladecans","118.49","1.51","187.42","283.64","6.06","0","349.38","F","G"
"1900","38.42","SITGES","302","1.62","168.16","0","12.33","110.42","154.27","E","E"
"1989","25.2","Cabrils","204.75","1.61","79.18","96.3","2.81","0","120.08","D","D"
"1984","55.88","TORRELLES DE FOIX","95","1.42","198.74","0","40.09","0","281.06","E","F"
"1979","62.85","Barcelona ","79","3.07","205.06","247.26","1.63","0","297.42","F","F"
"1996","32.67","Sant Quirze del Vallés ","154.57","1.28","128.99","127.73","1.45","0","154.82","D","E"
"1960","47.41","Barcelona ","80.91","1.68","170.41","185.04","2.34","0","224.77","E","E"
"1960","49.02","Barcelona ","135.1","1.01","235.92","127.47","44.48","0","242.7","E","E"
"2008","46.33","TORRE DE CLARAMUNT","67.96","0.88","159.91","109.88","56.32","0","240.81","E","E"
"1978","51.8","Cerdanyola del Valles","113","1.68","183.16","40.48","0","0","246.86","E","E"
"1985","126.18","Lliçà d'Amunt","55.35","0.69","275.41","0","3.1","402.41","480.49","G","G"
"2000","95.98","Begues","189.19","0.86","215.62","0","8.74","299.3","369.96","G","G"
"1991","74.81","Arenys de Munt","89.94","0.98","152.53","0","6.63","233.51","288.25","F","F"
"1956","26.06","Cerdanyola del Valles","107","1.28","98.16","0","70.5","0","150.75","D","D"
"2009","28.71","Rubí","131.8","1.7","89.61","107.86","4.61","0","137.36","D","D"
"1980","65.76","CASTELLBISBAL","134.45","1.44","162.43","23.47","15.11","147.16","273.89","F","F"
"1960","40.38","Barcelona ","59.44","1.57","146.4","83.69","58.28","0","213.47","E","E"
"1984","47.53","CASTELLAR DEL VALLÈS","89.95","1.43","161.29","85.52","0","0","227.31","E","E"
"2006","98.32","TORDERA","125.77","0.82","200.34","0","3.7","312.19","375.31","G","G"
"2007","46.87","Mataró","73.5","1.69","183.55","14.42","130.62","0","272.39","E","E"
